experiment,step,label,elapsed_time
ap-duckdb-q1-customer-total,step1,s1_parse_query_file,0.0006000995635986328
ap-duckdb-q1-customer-total,step1,s1_run_notebook,16.502119779586792
ap-duckdb-q1-customer-total,step2,s2_run_subprocess,4.679600954055786
ap-duckdb-q1-customer-total,step3,s3_run_notebook,1.1392261981964111
ap-duckdb-q1-customer-total,step1,s1_parse_query_file,0.0005199909210205078
ap-duckdb-q1-customer-total,step1,s1_run_notebook,16.55082106590271
ap-duckdb-q1-customer-total,step2,s2_run_subprocess,5.997162103652954
ap-duckdb-q1-customer-total,step2,s2_run_subprocess,5.9840991497039795
ap-duckdb-q1-customer-total,step2,s2_run_subprocess,5.686167001724243
ap-duckdb-q1-customer-total,step2,s2_run_subprocess,5.685187101364136
ap-duckdb-q1-customer-total,step2,s2_run_subprocess,6.287765979766846
ap-duckdb-q1-customer-total,step2,s2_run_subprocess,6.3968589305877686
ap-duckdb-q1-customer-total,step2,s2_run_subprocess,6.908677101135254
ap-duckdb-q1-customer-total,step2,s2_run_subprocess,5.6566760540008545
ap-duckdb-q1-customer-total,step2,s2_run_subprocess,6.566247940063477
ap-duckdb-q1-customer-total,step2,s2_run_subprocess,7.22095799446106
ap-duckdb-q1-customer-total,step3,s3_run_notebook,1.234889030456543
ap-duckdb-q1-customer-total,step3,s3_run_notebook,1.2421000003814697
ap-duckdb-q1-customer-total,step3,s3_run_notebook,4.0547966957092285
ap-duckdb-q1-customer-total,step3,s3_run_notebook,1.248100996017456
ap-duckdb-q1-customer-total,step3,s3_run_notebook,1.0792531967163086
ap-duckdb-q1-customer-total,step3,s3_run_notebook,1.0804119110107422
ap-duckdb-q1-customer-total,step3,s3_run_notebook,1.237941026687622
ap-duckdb-q1-customer-total,step3,s3_run_notebook,1.150386095046997
ap-duckdb-q1-customer-total,step3,s3_run_notebook,1.2381701469421387
ap-duckdb-q1-customer-total,step3,s3_run_notebook,1.2642619609832764
ap-duckdb-q1-customer-total,step1,s1_parse_query_file,0.0004961490631103516
ap-duckdb-q1-customer-total,step1,s1_run_notebook,15.513916015625
ap-duckdb-q1-customer-total,step2,s2_run_subprocess,0.8286600112915039
ap-duckdb-q1-customer-total,step2,s2_run_subprocess,0.8260102272033691
ap-duckdb-q1-customer-total,step2,s2_run_subprocess,0.8224179744720459
ap-duckdb-q1-customer-total,step2,s2_run_subprocess,0.8231520652770996
ap-duckdb-q1-customer-total,step2,s2_run_subprocess,0.8420557975769043
ap-duckdb-q1-customer-total,step2,s2_run_subprocess,6.633951902389526
ap-duckdb-q1-customer-total,step2,s2_run_subprocess,7.726891040802002
ap-duckdb-q1-customer-total,step2,s2_run_subprocess,8.376284837722778
ap-duckdb-q1-customer-total,step2,s2_run_subprocess,6.467112064361572
ap-duckdb-q1-customer-total,step2,s2_run_subprocess,6.107553005218506
ap-duckdb-q1-customer-total,step2,s2_run_subprocess,8.563746929168701
ap-duckdb-q1-customer-total,step2,s2_run_subprocess,6.774282932281494
ap-duckdb-q1-customer-total,step2,s2_run_subprocess,6.642212152481079
ap-duckdb-q1-customer-total,step2,s2_run_subprocess,7.174085855484009
ap-duckdb-q1-customer-total,step2,s2_run_subprocess,6.647900104522705
ap-duckdb-q1-customer-total,step3,s3_run_notebook,1.1087110042572021
ap-duckdb-q1-customer-total,step3,s3_run_notebook,1.2104299068450928
ap-duckdb-q1-customer-total,step3,s3_run_notebook,1.1793458461761475
ap-duckdb-q1-customer-total,step3,s3_run_notebook,1.0947048664093018
ap-duckdb-q1-customer-total,step3,s3_run_notebook,1.2972691059112549
ap-duckdb-q1-customer-total,step3,s3_run_notebook,1.0646579265594482
ap-duckdb-q1-customer-total,step3,s3_run_notebook,1.2374749183654785
ap-duckdb-q1-customer-total,step3,s3_run_notebook,1.3594529628753662
ap-duckdb-q1-customer-total,step3,s3_run_notebook,1.221951961517334
ap-duckdb-q1-customer-total,step3,s3_run_notebook,1.3258862495422363
ap-duckdb-q1-customer-total,step1,s1_parse_query_file,0.0006363391876220703
ap-duckdb-q1-customer-total,step1,s1_run_notebook,16.634469032287598
ap-duckdb-q1-customer-total,step2,s2_run_subprocess,9.598814010620117
ap-duckdb-q1-customer-total,step2,s2_run_subprocess,9.904890060424805
ap-duckdb-q1-customer-total,step2,s2_run_subprocess,8.505563020706177
ap-duckdb-q1-customer-total,step2,s2_run_subprocess,6.379548072814941
ap-duckdb-q1-customer-total,step2,s2_run_subprocess,6.906189203262329
ap-duckdb-q1-customer-total,step2,s2_run_subprocess,6.752716064453125
ap-duckdb-q1-customer-total,step2,s2_run_subprocess,6.431733846664429
ap-duckdb-q1-customer-total,step2,s2_run_subprocess,6.355004072189331
ap-duckdb-q1-customer-total,step2,s2_run_subprocess,6.40898585319519
ap-duckdb-q1-customer-total,step2,s2_run_subprocess,6.392603158950806
ap-duckdb-q1-customer-total,step3,s3_run_notebook,1.0408971309661865
ap-duckdb-q1-customer-total,step3,s3_run_notebook,1.2095129489898682
ap-duckdb-q1-customer-total,step3,s3_run_notebook,1.1220247745513916
ap-duckdb-q1-customer-total,step3,s3_run_notebook,1.3666980266571045
ap-duckdb-q1-customer-total,step3,s3_run_notebook,1.5349268913269043
ap-duckdb-q1-customer-total,step3,s3_run_notebook,1.2586297988891602
ap-duckdb-q1-customer-total,step3,s3_run_notebook,1.2557439804077148
ap-duckdb-q1-customer-total,step3,s3_run_notebook,1.0689661502838135
ap-duckdb-q1-customer-total,step3,s3_run_notebook,1.2080581188201904
ap-duckdb-q1-customer-total,step3,s3_run_notebook,1.100290060043335
